score_name,keep_fraction,abstain_fraction,n_kept,mean_error,median_error,error_reduction_vs_full,high_error_fraction,full_mean_error
risk_score,0.5,0.5,600,0.46898402402171296,0.46400719875845853,0.06970006758376757,0.14666666666666667,0.5041213136538005
risk_score,0.6,0.4,720,0.4771243280600638,0.4727047156895459,0.05355255741533005,0.15555555555555556,0.5041213136538005
risk_score,0.7,0.30000000000000004,840,0.48653169560788584,0.4816759074118768,0.034891637329173,0.1761904761904762,0.5041213136538005
risk_score,0.8,0.19999999999999996,960,0.4909550300816354,0.48892855876329927,0.026117292039762763,0.178125,0.5041213136538005
risk_score,0.9,0.09999999999999998,1080,0.49722127095711727,0.49235399980948413,0.013687266357918282,0.18981481481481483,0.5041213136538005
risk_score,1.0,0.0,1200,0.5041213136538005,0.4962841490137525,0.0,0.2,0.5041213136538005
reference_risk_score,0.5,0.5,600,0.46291270870124324,0.4504392053757167,0.08174342928269207,0.135,0.5041213136538005
reference_risk_score,0.6,0.4,720,0.47498301113132646,0.47025090018145144,0.057800179705324806,0.15416666666666667,0.5041213136538005
reference_risk_score,0.7,0.30000000000000004,840,0.4841156450043329,0.4792020607899904,0.039684234940334795,0.16785714285714284,0.5041213136538005
reference_risk_score,0.8,0.19999999999999996,960,0.49288245222880084,0.48862710658874176,0.02229396202977807,0.18541666666666667,0.5041213136538005
reference_risk_score,0.9,0.09999999999999998,1080,0.5000067015518698,0.4945390641043682,0.008161948305872357,0.1962962962962963,0.5041213136538005
reference_risk_score,1.0,0.0,1200,0.5041213136538005,0.4962841490137525,0.0,0.2,0.5041213136538005
local_uncertainty_risk_score,0.5,0.5,600,0.4543246813966412,0.43957127567472176,0.0987790654916777,0.125,0.5041213136538005
local_uncertainty_risk_score,0.6,0.4,720,0.4642791321595177,0.4592720862979756,0.0790329240505867,0.13472222222222222,0.5041213136538005
local_uncertainty_risk_score,0.7,0.30000000000000004,840,0.47663367421690683,0.47297074560582264,0.05452584267399274,0.1488095238095238,0.5041213136538005
local_uncertainty_risk_score,0.8,0.19999999999999996,960,0.4879637006834734,0.4876911483794499,0.032051041153604576,0.17083333333333334,0.5041213136538005
local_uncertainty_risk_score,0.9,0.09999999999999998,1080,0.49643767011070405,0.49199950938346526,0.015241655797900155,0.18518518518518517,0.5041213136538005
local_uncertainty_risk_score,1.0,0.0,1200,0.5041213136538006,0.4962841490137525,-2.220446049250313e-16,0.2,0.5041213136538005
abundance_entropy_risk,0.5,0.5,600,0.4423787759840905,0.4211685022499026,0.12247555498538398,0.12,0.5041213136538005
abundance_entropy_risk,0.6,0.4,720,0.45792710465238295,0.44157268233224733,0.09163312034281679,0.1375,0.5041213136538005
abundance_entropy_risk,0.7,0.30000000000000004,840,0.46911250572664764,0.4602075721597519,0.06944520491191686,0.1488095238095238,0.5041213136538005
abundance_entropy_risk,0.8,0.19999999999999996,960,0.47996004051605384,0.47297074560582264,0.04792749777356009,0.16145833333333334,0.5041213136538005
abundance_entropy_risk,0.9,0.09999999999999998,1080,0.48963763386791315,0.48569508294434505,0.02873054440192524,0.1712962962962963,0.5041213136538005
abundance_entropy_risk,1.0,0.0,1200,0.5041213136538006,0.4962841490137525,-2.220446049250313e-16,0.2,0.5041213136538005
inverse_top1_margin,0.5,0.5,600,0.4811955800009194,0.47720396251922104,0.045476620472002294,0.16833333333333333,0.5041213136538005
inverse_top1_margin,0.6,0.4,720,0.4920126822890096,0.486086838457347,0.024019280750161687,0.1875,0.5041213136538005
inverse_top1_margin,0.7,0.30000000000000004,840,0.4944296034261709,0.4892447694482255,0.019224956305428642,0.1869047619047619,0.5041213136538005
inverse_top1_margin,0.8,0.19999999999999996,960,0.49526342363519216,0.49062266116703157,0.017570949251099144,0.18854166666666666,0.5041213136538005
inverse_top1_margin,0.9,0.09999999999999998,1080,0.5016800949717566,0.4941768716112356,0.004842522257887394,0.19722222222222222,0.5041213136538005
inverse_top1_margin,1.0,0.0,1200,0.5041213136538005,0.4962841490137525,0.0,0.2,0.5041213136538005
inverse_max_abundance,0.5,0.5,600,0.4572321451436742,0.44071301916084515,0.0930116764361344,0.135,0.5041213136538005
