model_key,best_baseline_score,best_baseline_auroc_top20,baseline_only_r2,baseline_plus_relist_r2,incremental_r2_for_relist,baseline_coef_in_baseline_only,baseline_coef_in_combined,relist_coef_in_combined
nnls_projection,cross_model_disagreement,0.7502864583333333,0.23260766343070804,0.28179758352196194,0.04918992009125389,0.08006490585612673,0.0757693793776821,0.037068408986990174
rctd,abundance_entropy_risk,0.6244357638888889,0.10816766883335882,0.11172691788289257,0.0035592490495337525,0.05008323619746495,0.044598309232906704,0.010612297244614875
tangram,cross_model_disagreement,0.8435633680555555,0.44148891744419516,0.4633198384784494,0.021830921034254214,0.11114720133301341,0.11007051390908328,0.024739239791418552
