scenario,n_spots,mean_true_error,median_true_error,spearman_error,spearman_pvalue,pearson_error,pearson_pvalue,auroc_top20_error,average_precision_top20_error,bottom20_score_mean_error,top20_score_mean_error,top_minus_bottom20_error,keep80_mean_error,keep80_error_reduction_vs_full,keep80_high_error_fraction,description,n_genes,n_reference_celltypes,n_error_celltypes,n_dropped_genes,dropped_genes_preview,dropped_celltypes,contamination_fraction
baseline_full_reference,1200,0.5041213136538005,0.4962841490137525,0.2733621901652795,5.214429245407039e-22,0.27265006216227305,6.723773153476811e-22,0.6330598958333333,0.2719499181613863,0.42333349622795924,0.5653816645135002,0.142048168285541,0.48880622593887574,0.030379766338231584,0.17291666666666666,Original reference signatures and full gene set.,1000,25,25,0,,,0.0
marker_gene_dropout,1200,0.56632142562966,0.5624288443276859,0.28680499106535196,3.7237820333072274e-24,0.295495095508365,1.3180241839521115e-25,0.6357421875,0.29304860619565964,0.48837825275224084,0.6389480552781859,0.15056980252594504,0.5481647682175286,0.03206069308069026,0.165625,Remove high-specificity reference marker genes before signature projection.,762,25,25,238,ABL1;ADGRV1;AK3;AK4;ALCAM;ALDH1L1;ANLN;ANTXR1;ARID1A;ARRDC3;ATP2B4;BAZ1B;BBX;BCAN;BDH2;BMPR1B;C11orf58;C1QB;C1QC;CA2,,0.0
dominant_celltype_dropout,1200,0.6028645584694426,0.6,0.2030899851965926,1.2292003177995887e-12,0.2172882037722765,2.733666030480859e-14,0.6283191566452146,0.29719744572929985,0.5502879340696736,0.6657230097908119,0.11543507572113831,0.5871499456391004,0.026066572681331057,0.17083333333333334,Drop the three cell types with the highest average true pseudo-spot abundance.,1000,22,25,0,,Excit_08;Excit_01;Inhib_04,0.0
excit_inhib_label_coarsening,1200,0.22200196959551544,0.19669454437664105,0.39666957477821463,1.6825414732840316e-46,0.3627097479547018,1.2774589503824969e-38,0.7060199652777777,0.3510057094513996,0.14899323967604028,0.28934659314631445,0.14035335347027417,0.20516581370781567,0.0758378671971921,0.15625,Merge Excit_* and Inhib_* reference labels into broad excitatory and inhibitory classes.,1000,8,8,0,,,0.0
out_of_reference_contamination,1200,0.5879519045574035,0.5805905805945544,0.226839094996389,1.810956323534943e-15,0.2242489124771027,3.828117658245952e-15,0.5967230902777777,0.24927285031855898,0.5286583218250838,0.6238391905958587,0.09518086877077492,0.5789800830477897,0.015259447992378883,0.18229166666666666,Mix a synthetic non-reference expression profile into pseudo-spots and evaluate against an explicit out-of-reference composition column.,1000,25,26,0,,,0.2
