scenario,full_auroc_top20_error,leave_out_reference_auroc_top20_error,reference_only_auroc_top20_error,delta_full_minus_leave_out_reference_auroc,full_spearman_error,leave_out_reference_spearman_error,delta_full_minus_leave_out_reference_spearman,full_keep80_mean_error,leave_out_reference_keep80_mean_error,delta_full_minus_leave_out_reference_keep80_mean_error
baseline_full_reference,0.6317881944444443,0.6684244791666666,0.5306944444444445,-0.036636284722222245,0.2744844602641012,0.37338107901786177,-0.09889661875376055,0.4900225589333626,0.48706841808028073,0.002954140853081877
dominant_celltype_dropout,0.6304672268327611,0.6393312514018531,0.5623889301057644,-0.008864024569091966,0.21380607733864768,0.27156534113617625,-0.057759263797528576,0.5866626370653356,0.5814517102088099,0.005210926856525688
excit_inhib_label_coarsening,0.7083550347222223,0.7112543402777778,0.631618923611111,-0.002899305555555509,0.40622316613298237,0.4158199428608421,-0.009596776727859746,0.20773880140782086,0.20801564144447734,-0.0002768400366564838
marker_gene_dropout,0.6389713541666666,0.6601649305555555,0.5336111111111111,-0.021193576388888857,0.27283882674765353,0.3261013656873565,-0.05326253893970295,0.5480694487544755,0.5483569389669302,-0.00028749021245466633
out_of_reference_contamination,0.5838715277777778,0.6211718749999999,0.5034939236111111,-0.037300347222222086,0.1774385726724686,0.26520897182934583,-0.08777039915687723,0.5814451341100688,0.5786915360108787,0.002753598099190069
