model_key,score_name,score_family,n_spots,spearman_error,spearman_pvalue,pearson_error,pearson_pvalue,auroc_top20_error,average_precision_top20_error,auroc_top10_error,average_precision_top10_error,top_minus_bottom20_error,keep80_mean_error,aurc
nnls_projection,cross_model_disagreement,uncertainty/confidence baseline,1200,0.4797003796958482,4.4709277725874357e-70,0.4822941669051247,6.361805472874904e-71,0.7502864583333333,0.44805726545492447,0.7425154320987656,0.24424584511829184,0.23361563696538,0.47448665454866723,0.4309734735439638
nnls_projection,abundance_entropy_risk,uncertainty/confidence baseline,1200,0.46063894872303124,4.51834839508021e-64,0.47656991230195644,4.600206712614499e-69,0.6820920138888891,0.39119008688077883,0.6406095679012346,0.2372577139231333,0.21529136309734276,0.4799600405160539,0.4298696606343061
nnls_projection,local_uncertainty_risk_score,ReliST score,1200,0.36936763663418737,4.309163441917465e-40,0.37784711647770397,5.1162315956535275e-42,0.6697569444444443,0.3221246432004646,0.6566820987654322,0.1826607585953995,0.16711647929716084,0.48533408792200705,0.4466047839616909
nnls_projection,leave_out_reference,ReliST score,1200,0.36936763663418737,4.309163441917465e-40,0.37784711647770397,5.1162315956535275e-42,0.6697569444444443,0.3221246432004646,0.6566820987654322,0.1826607585953995,0.16711647929716084,0.48533408792200705,0.4466047839616909
nnls_projection,phi_uncertainty,uncertainty/confidence baseline,1200,0.41513239182790185,3.4486049235615957e-51,0.4232513718769752,2.404475711067385e-53,0.6633072916666667,0.36659950127858926,0.6265895061728395,0.21736451790013045,0.20269335798306498,0.48148763600066785,0.4379981336241142
nnls_projection,inverse_max_abundance,uncertainty/confidence baseline,1200,0.33958538077570255,9.00322504188867e-34,0.3476717659897638,2.018326120442543e-35,0.6324305555555555,0.3245875289061103,0.6020293209876543,0.18066042766231333,0.15944180328781637,0.48559855497750337,0.4497481285176862
nnls_projection,snrna_marker_discordance,component/proxy diagnostic,1200,0.26762536808482823,3.956647682858253e-21,0.26042591042839125,4.69898638146855e-20,0.6281119791666667,0.2938842037765532,0.6266512345679013,0.15881553311749802,0.12126066076330289,0.48921048928305616,0.4634615106799942
nnls_projection,risk_score,ReliST score,1200,0.2739419920115031,4.237145864070607e-22,0.2761826015209266,1.8910710699740822e-22,0.6246223958333333,0.2818282694311227,0.6149691358024691,0.14563449892338054,0.13604060556769892,0.4873508626237755,0.46155818970510937
nnls_projection,reference_risk_score,ReliST score,1200,0.2739278774072919,4.258632799032513e-22,0.28597794326779935,5.0869706259903366e-24,0.6123784722222222,0.2635928505554922,0.5815200617283951,0.1286994055390644,0.12041560371362325,0.4928824522288008,0.4566504704079281
nnls_projection,inverse_top1_margin,uncertainty/confidence baseline,1200,0.160256282184689,2.380865230604696e-08,0.19180297426818466,2.0896020748902052e-11,0.5608767361111111,0.23019732074621138,0.5472916666666666,0.1164242436144138,0.08789126674833886,0.49526342363519216,0.4726119988066996
nnls_projection,phi_local,component/proxy diagnostic,1200,0.034377224460766215,0.2340571486247141,0.03316002690363347,0.2510447172274367,0.5510720486111111,0.23434710774571388,0.5730092592592593,0.13109108711897727,0.011749309697798194,0.5021532172479566,0.5016255896304691
nnls_projection,reference_only,ReliST score,1200,0.021186746616513673,0.4634072723791576,0.015823750955394043,0.5839570894456881,0.5157421875,0.1967649456550266,0.5064583333333333,0.09615075055297831,0.015481948277264512,0.50591245966083,0.4939060815352042
nnls_projection,phi_reference,component/proxy diagnostic,1200,0.021186746616513673,0.4634072723791576,0.0030994449436518873,0.9145856641421904,0.5157421875,0.1967649456550266,0.5064583333333333,0.09615075055297831,0.015481948277264512,0.50591245966083,0.4939060815352042
