model_key,score_name,metric,mean,ci95_low,ci95_high,n_bootstrap
nnls_projection,abundance_entropy_risk,spearman_error,0.4592526668431286,0.40945011104013074,0.5038642811446431,500
nnls_projection,abundance_entropy_risk,auroc_top20_error,0.68136790186562,0.6443603492388118,0.717341787167247,500
nnls_projection,abundance_entropy_risk,keep80_mean_error,0.4802537501967189,0.46964124623151066,0.49167982991128323,500
nnls_projection,abundance_entropy_risk,aurc,0.43070471808706906,0.4154020259611191,0.4452916460642688,500
nnls_projection,cross_model_disagreement,spearman_error,0.4790962288338103,0.43236200877623854,0.5245731580458117,500
nnls_projection,cross_model_disagreement,auroc_top20_error,0.7490814812048102,0.7130410263113657,0.7814840780749058,500
nnls_projection,cross_model_disagreement,keep80_mean_error,0.4754739318395808,0.46527359906227794,0.4867188468677844,500
nnls_projection,cross_model_disagreement,aurc,0.4315385080496123,0.41818494019891717,0.4439479519139082,500
nnls_projection,inverse_max_abundance,spearman_error,0.3387765139941222,0.28597064034878644,0.3895640722793385,500
nnls_projection,inverse_max_abundance,auroc_top20_error,0.6321808969838044,0.5933984516085982,0.6683848346786513,500
nnls_projection,inverse_max_abundance,keep80_mean_error,0.4863084906403436,0.4749376853748185,0.4971471552942697,500
nnls_projection,inverse_max_abundance,aurc,0.45039622352496483,0.43566903983736327,0.4651334257857368,500
nnls_projection,inverse_top1_margin,spearman_error,0.1607247929757579,0.10935342165792321,0.21873343894857214,500
nnls_projection,inverse_top1_margin,auroc_top20_error,0.5618928268154567,0.5254605488820983,0.5994040993136822,500
nnls_projection,inverse_top1_margin,keep80_mean_error,0.49559465686109627,0.4847752475561482,0.5067329496422109,500
nnls_projection,inverse_top1_margin,aurc,0.47302790800505934,0.4588365032378658,0.4866701712333229,500
nnls_projection,leave_out_reference,spearman_error,0.36956515558820957,0.31925859901766523,0.4160450788656425,500
nnls_projection,leave_out_reference,auroc_top20_error,0.6694070090601166,0.6324179523824367,0.7069127021392029,500
nnls_projection,leave_out_reference,keep80_mean_error,0.4849359834193114,0.4743765980531302,0.49649678079396964,500
nnls_projection,leave_out_reference,aurc,0.44710224405725535,0.4331744164230773,0.46055223602598283,500
nnls_projection,local_uncertainty_risk_score,spearman_error,0.36956515558820957,0.31925859901766523,0.4160450788656425,500
nnls_projection,local_uncertainty_risk_score,auroc_top20_error,0.6694070090601166,0.6324179523824367,0.7069127021392029,500
nnls_projection,local_uncertainty_risk_score,keep80_mean_error,0.4849359834193114,0.4743765980531302,0.49649678079396964,500
nnls_projection,local_uncertainty_risk_score,aurc,0.44710224405725535,0.4331744164230773,0.46055223602598283,500
nnls_projection,phi_local,spearman_error,0.03471509474329206,-0.021323195565555227,0.08879087832254295,500
nnls_projection,phi_local,auroc_top20_error,0.5505535219314388,0.5105364120658089,0.5937976036056056,500
