policy,score_name,keep_fraction,abstain_fraction,n_kept,n_abstained,mean_error_kept,mean_error_abstained,kept_error_reduction_vs_full,kept_top20_true_error_fraction,abstained_top20_true_error_fraction,full_mean_error,aurc
score_based,risk_score,0.7,0.30000000000000004,840,360,0.48653169560788584,0.545163755760935,0.034891637329173,0.1761904761904762,0.25555555555555554,0.5041213136538005,0.4577941610050786
score_based,risk_score,0.8,0.19999999999999996,960,240,0.4909550300816353,0.5567864479424618,0.026117292039762874,0.178125,0.2875,0.5041213136538005,0.4577941610050786
score_based,risk_score,0.9,0.09999999999999998,1080,120,0.49722127095711727,0.56622169792395,0.013687266357918282,0.18981481481481483,0.2916666666666667,0.5041213136538005,0.4577941610050786
score_based,risk_score,0.95,0.050000000000000044,1140,60,0.5025671297748586,0.5336508073536985,0.0030829560997478467,0.19736842105263158,0.25,0.5041213136538005,0.4577941610050786
score_based,local_uncertainty_risk_score,0.7,0.30000000000000004,840,360,0.47663367421690683,0.5682591390065528,0.05452584267399274,0.1488095238095238,0.3194444444444444,0.5041213136538005,0.44029409894383886
score_based,local_uncertainty_risk_score,0.8,0.19999999999999996,960,240,0.48796370068347333,0.5687517655351094,0.03205104115360469,0.17083333333333334,0.31666666666666665,0.5041213136538005,0.44029409894383886
score_based,local_uncertainty_risk_score,0.9,0.09999999999999998,1080,120,0.49643767011070405,0.5732741055416695,0.015241655797900155,0.18518518518518517,0.3333333333333333,0.5041213136538005,0.44029409894383886
score_based,local_uncertainty_risk_score,0.95,0.050000000000000044,1140,60,0.5005849769956288,0.5713117101590657,0.007014852501555424,0.19298245614035087,0.3333333333333333,0.5041213136538005,0.44029409894383886
score_based,reference_risk_score,0.7,0.30000000000000004,840,360,0.4841156450043329,0.5508012071692252,0.039684234940334795,0.16785714285714284,0.275,0.5041213136538005,0.4566504704079279
score_based,reference_risk_score,0.8,0.19999999999999996,960,240,0.4928824522288008,0.5490767593537996,0.02229396202977818,0.18541666666666667,0.25833333333333336,0.5041213136538005,0.4566504704079279
score_based,reference_risk_score,0.9,0.09999999999999998,1080,120,0.5000067015518697,0.5411528225711784,0.00816194830587258,0.1962962962962963,0.23333333333333334,0.5041213136538005,0.4566504704079279
score_based,reference_risk_score,0.95,0.050000000000000044,1140,60,0.5014106616623285,0.5556237014917695,0.005376983511817035,0.19649122807017544,0.26666666666666666,0.5041213136538005,0.4566504704079279
random_reference,random_reference,0.7,0.30000000000000004,840,360,0.5041213136538005,,0.0,0.2,0.2,0.5041213136538005,0.5041213136538005
oracle_error,oracle_error,0.7,0.30000000000000004,840,360,0.41901393782279467,,0.16882320490312053,0.0,0.6666666666666666,0.5041213136538005,0.35688671558297275
random_reference,random_reference,0.8,0.19999999999999996,960,240,0.5041213136538005,,0.0,0.2,0.2,0.5041213136538005,0.5041213136538005
oracle_error,oracle_error,0.8,0.19999999999999996,960,240,0.44418462849524,,0.11889337652508258,0.0,1.0,0.5041213136538005,0.35688671558297275
random_reference,random_reference,0.9,0.09999999999999998,1080,120,0.5041213136538005,,0.0,0.2,0.2,0.5041213136538005,0.5041213136538005
oracle_error,oracle_error,0.9,0.09999999999999998,1080,120,0.4715510406519763,,0.0646080062867398,0.1111111111111111,1.0,0.5041213136538005,0.35688671558297275
random_reference,random_reference,0.95,0.050000000000000044,1140,60,0.5041213136538005,,0.0,0.2,0.2,0.5041213136538005,0.5041213136538005
oracle_error,oracle_error,0.95,0.050000000000000044,1140,60,0.48633025087331894,,0.03529123307946347,0.15789473684210525,1.0,0.5041213136538005,0.35688671558297275
